review,sentiment
"A ""40 foot long"" giant mutant squid with five tentacles, razor fangs and the ability to reproduce it's own cells terrorizes a small Florida town. Various marine biologists, doctors and cops plot to kill it. Meanwhile, a human monster named Miller offs people who discover the ""Devilfish"" is a manmade creation used for the greedy benefit of some evil doctors! Miller attacks a female researcher, strangles her, drowns her in the bathtub, tosses in a hairdryer, then rips the panties off her dead body!<br /><br />Lots of false alarms are set when our heroes Peter, Stella, Janet and Bob set out on a high tech (high tech for 1984, anyway) ""Seaquarium"" boat to catch the creature, who is frequently seen in close up or hilariously obvious speeded-up film to seem more menacing. And only fire can destroy it, which leads to a flamethrower-armed posse vs. aquatic beast finale.<br /><br />This JAWS cash-in is pretty tame (other than a legless corpse and a decapitation) but watchable and benefits from an excellent Antony Barrymore score and a decent (again, for 1984) monster design. Luigi Cozzi and Sergio Martino wrote the original story.<br /><br />Score: 4 out of 10",negative
"I saw this movie in Blockbuster and thought it might be a good Sunday evening movie when there is nothing else to do. So I bought it used, 3 DVDs for $25. Although it was cheap, my money would have been better spent on a nail to drive through my foot.<br /><br />The film started out nicely. Kinda Dark and mysterious. I was always enthralled with vampire and samurai movies as a kid. I thought the combo would be really cool. The first fight scene was pretty cool. I was excited for the rest of the movie. Then the movie took a serious nose dive.<br /><br />I understand that this was a big hit in the east. I guess because of the twins. I don't see it though. This movie, aside from the first 10 minutes, was absolutely horrible. So many movies in this genre have the potential to be great, and blow it terribly. This is just another casualty.<br /><br />Jacki Chan's role in this film doesn't make any sense at all. Whyyyyyyyy? Complete silliness. He probably made a few bucks off it though.<br /><br />The only cool thing in this movie are the swords they use. Nice idea.<br /><br />I wouldn't recommend this movie to anyone.",negative
"The tighter the drama, the better the film of sister rivalry! This little gem was mainly promoted as a comedy upon its release in Sweden, so I'm glad to find that wasn't the whole case. Funny bits on small-town bickering are there to enjoy, surely, but the drama takes center stage, as the story progresses. And not just family drama, it also raises poignant questions on respecting differences of peoples' lifestyle choices.<br /><br />Great character ensemble with many superb and moving dramatic scenes that score credibility points; and they're not just scattershot, but hold everything in place. It just makes me assume that if Ingmar Bergman had made this (the drama would suit him!), the international attention probably would have been immediate.<br /><br />7 out of 10 from Ozjeppe.",positive
"pardon my spelling. This is probably the funniest horror movie that ever existed. Think evil dead * 1000. The acting is horrible, you can see the makeup line on a certain lady's face. there is a lesbian scene, which makes no sense at-all. And the ending, haha ohhhh the ending... be prepared to have your stomach hurting from laughter. Now if you watch this film for more then 5 minutes and are still expecting something, take a look at your self, and ask what the hell is wrong with you. This is a very bad movie, meant to laugh at and enjoy for its pure silliness.<br /><br />Don't forget to watch all the outtakes after the movie, you can see just how low budget the whole thing really was. All in all this movie is a rare gem in demonstrating the pure and udder lack of talent/care/ability/money/ and anything else you would ever need to make a successful film. But its definitely worth watching.",negative
"The first 10 minutes of the movie makes fun of sequels and pg-13 movies. These are the 2 reasons the movie is so bad. They constantly reference a movie called ""Get Leo"" which is the movie-in-a-movie version of get shorty. Every time they do this, you will be really angry. Travolta isn't very cool, neither is Keitel. However, The Rock and Vince Vaughn are hilarious. They aren't the kind of funny you would expect to see in an Elmore Leonard movie though. If you haven't seen get shorty, you will probably like be cool. If you liked get shorty, you will leave the theater wanting to kill the director and screenwriter. Wait for the DVD.",negative
"This is the only full length feature film about the world of bridge. I found the first 10 minutes a bit slow, but after that, the movie is absolutely perfect in describing professional bridge players and how they go about earning a living. <br /><br />Some of the scenes are very funny. I don't think that a non-bridge player would get the charm of this movie. <br /><br />Some of the dresses are really beautiful, pity the movie is in black and white - I can only imagine what they would look like in colour. The way the media are portrayed is absolutely hilarious. There is no way on earth bridge will ever be like that. <br /><br />Watch it as soon as you can, and tell your friends about it.",positive
"Directed by Diane Keaton and adapted from a book by Franz Lidz. A young mother Selma Lidz(Andie MacDowell)is battling a very serious illness and her self proclaimed inventor husband Sid(John Tururro)is a little lacking in the emotions department. Unhappy with the new home situation, their sensitive son Steven(Nathan Watt)decides he wants to stay with his two eccentric uncles Danny(Michael Richards)and Melvin(Lou Cutell)until his mom is well. Steven seems to be happier and even takes interest in his strange uncle's living habits; he even decides he wants to change his name to Franz. Set in the early 60's, this drama is a bit comedic...change that to zany. Not being a MacDowell fan, UNSTRUNG HEROES assures my attitude; albeit I enjoyed the film and it is not a total waste.",negative
"The Story line for this game is very jerky where it appears the game writers have tried to find ways to justify how a character appears in certain areas of the world map in Tales of the Soul. That being said, this is the only gripe I have about the game.<br /><br />The beginning FMV is spectacular with breath taking sceneries and interesting new devices such as the ability to create and design your own character and their own Martial Arts discipline. There's even a second story mode which makes up for the awkward Story design of Tale of the Souls.<br /><br />Parts of the FMVs during Tale of the Souls is also interactive where you can decide the fate of your Character to a certain degree which is an interesting feature.<br /><br />With the many combinations of Characters you can create, the varied paths you can explore in Tales of the Souls and the Chronicle of Swords story mode, this game will keep any Beatem up/RPG fans amused for a while!",positive
"I wasn't really hoping for much when I went to see this. After Mst3king the heck out of JasonX with some friends though, I was hoping for a similar experience here.<br /><br />Unfortunately the movie took itself way too seriously. Do I care about Jason's problems? I'm sorry no. There are a legion Ft13th movies that cover that anyway. At at then end of the day, he's an undead serial killer, I'm just not going to get that sympathetic.<br /><br />Freddy was by far the most interesting aspect of the movie with the hallucinations and what not, but unfortunately they were few and far between and by the end of the movie, it had degenerated into a bad episode of celebrity deathmatch...only not funny.<br /><br />",negative
"This is an excellent film about a traditional working class family in Northern England. Filmed on location in Bolton, it stars James Mason as the father who is the dominant force within his home. Or so it seems. Cleverly, the film, based on the play, portrays the complexities of family life. The supporting cast is terrific as well, with many familiar faces lending support.",positive
"A gritty presentation of the decay of family values and human dignity in the wake of Soviet communism, Vasili Pichul's 1988 film Little Vera is a landmark film of modern Russian cinema. Pichul's brutal drama marks a strong departure from the images of sanitized idealism promoted in Soviet times (as in Aleksandrov's Circus), brashly moving the social chaos of his time into the public spotlight. A contemporary Ukrainian setting further intensifies the effect, first by the immediacy of the film to its time period, second by its utilization of a locale not only struggling for identity in lieu of a Soviet system, but also as a nation distinct from the Russian idiom that had dominated the U.S.S.R.<br /><br />Vera, the film's title character and protagonist, is a rebellious adolescent girl with a ""dysfunctional"" family including a hard-drinking father and a mother care-worn. Rejecting her would-be beau Andrei, Vera begins a destructive (and primarily sexual) relationship with a college student named Sergei. Despite her parents' dislike for the lazy Sergei, and despite Sergei's rude contempt for her parents, he moves into their cramped apartment. Tensions escalate until Vera's father drunkenly stabs Sergei. Vera must decide if she will stay loyal to her intolerable family by testifying her father acted in self-defense, or continue to support and defend the ever-detached Sergei. <br /><br />Unbearable in almost every imaginable way, Little Vera masterfully captures and communicates the inescapable void left in social life after the collapse of communism. The sexual aggressiveness of the film (it was the first film to show explicit sex) combined with the unrelenting presentation of social reality (a marked distinction from the socialist realism demanded by Stalin) effectively confronted the conditions of former-Soviet life. Most interesting, however, was public reception. While many wrote hate mail to the director and star, the film was wildly popular. Here the double-edged nature of ""film as social criticism"" emerges: if done correctly, the film will make the audience uncomfortable. Because no easy solution presents itself, some viewers will hate the film and filmmakers for ""bringing up"" the issue. Many films come to mind as somewhat comparable in this regard: Larry Clark's Kids, Harmony Korine's Gummo, even popular movie's such as John Hughes' Breakfast Club. <br /><br />I recommend this film to those viewers for whom the prospect of nearly two hours excruciating domestic conflict and social miasma is not overly daunting. The film is absolutely beautiful, and incredibly challenging. Despite the difficulties of watching the film, some moments within it are profoundly beautiful. Of course, the socio-historic and cultural significance of the film cannot be overlooked, and in fact operate as an even more assertive reason for watching this film.",positive
"This movie is a shameful result of what happens when:<br /><br />A) It is written, directed and produced by an idiot. and/or B) It was rushed in production to satiate the poker/Stu Ungar craze. <br /><br />The story from beginning is uneven. Vidmer spends too much time on Ungar's childhood and not enough on some of the legendary tales -- such as counting cards, his blackjack escapades, the roll of money as id. He also leaves out mentions of other poker greats such as chip reese, brunson etc. The movie is a complete mess from beginning to end. <br /><br />If you want a more complete and accurate account, read the book One of a Kind. If you thought the movie was good, read the book and change your mind.",negative
"This movie was incredible. I would recommend it to anyone, much better than what I had already anticipated. It was definitely a heart-wrenching spectacular movie. It is an amazing story, with amazing actors and creators. Definitely another great movie with Denzel Washington. (shouldn't surprise anyone) Derek Luke did a wonderful job as well.",positive
"I don't understand the low 5.7 rating on this film. It's a delight for people who like a strong suspense plot and dark atmospherics. The tone is reminiscent of Midnight in the Garden of Good and Evil, down to the locale (Savannah). The acting is strong, and I was amazed at the verisimilitude of Kenneth Branagh's southern accent. Famke Jansen is great, Robert Duval is effective in a small part, and Embeth Davitz is the BOMB. Great full nude scene of her,too.<br /><br />The plot is fairly standard but effectively executed.",positive
"You will be able to tell within the first 30 seconds of this film whether you want to finish watching it. The film opens with images of planes landing at an airport, one plane after another diving into a mirage-filled runway. You will be able to accurately guess that this movie is not about a ""story."" At first viewing, it's even easy to think the opening images are repetitive shots of the same plane. The initial drama is in the acuteness of your perception, which is built on your willingness to experience the film simply as a series of images. If after this opening, you want to see the movie, you will not be bored. You may even be mesmerized. The movie may be an emotional experience; it may be an intellectual experience; it may be both. Judging from the DVD commentary, which is essential, it was primarily an emotional experience for Herzog, and, at one point, he talks explicitly about how the film is a collaboration between filmmaker and viewer. There's plenty of room for the viewer to make of this film exactly what he or she wants to make of it. Take a gamble?",positive
"""Don't be greedy"" sums up the depth of this movie. All the rest of the baloney is big budget window dressing. The movie rotates through hiding the ball annoyingly and revealing too much. None of the potentially interesting plot tangents are developed yet the trite ones are hashed and rehashed to excess.<br /><br />The charm of DD, as others have pointed out, was in the schizophrenia device,the humor woven into the fabric of the movie, and most importantly, the acting. There is enough wooden acting in The Box to attract a giant mound of martian termites.<br /><br />The biggest problem with suspending disbelief during this mess is the glaring question, ""why would a technologically superior power capable of taking over the government need to do any testing at all?"" Awful failure of a movie.",negative
"Dolph Lundgren stars as a former cop/boxer who searches Boston's kinky scene to find out who killed his brother,who was well thought of in the community, however along the way he learns how his brother enjoyed kinky sex and that a serial killer is to blame. Dolph Lundgren is very good in this movie, in fact on the basis of his performance here, one would forget Lundgren's rise to fame involved action roles. That said the material gives Lundgren nothing to work with, in fact, Lundgren is completely left out to dry in a dreary thriller which is both predictable and incomprehensible. Co-Star Danielle Brett is also good, in fact the film works best when it centers around the chemistry of Lundgren and Brett, indeed had the film taken the time to explore their relationship the film would've been fairly decent. However the movie is lackluster, the action is non-existent, the plot not given enough exploration (Too much boring B.S around Lundgren's investigation of his brother's employer) and the film is needlessly gory and ridiculous. Once again, Lundgren is actually really good (As is newcomer Danielle Brett) but the film just lumbers from one sequence to the next, which makes this movie particularly disappointing. If anything else though, it shows how underrated Lundgren is, as an actor.<br /><br />*1/2 Out Of 4-(Poor)",negative
"Great characters, great acting, great dialogue, incredible plot twists in plain language one of the best shows I've ever seen in my life. Do yourself a favor and watch this show, you won't regret it. This show re-writes the book on Sci-Fi!",positive
"This movie received a great write up in Blockbusters 'coming attraction' I was looking forward to the release date,08/07/02. The plot sounds reasonable, the cast alone should have guaranteed a side-splitter, but whoa there; apart from the 'off the wall betting events' this was quite a bore.<br /><br />This will never become a comedy classic, and I'm afraid it has done no help to the fine comedy reputation of John Cleese. Rowan Atkinson, now he was quite funny, in a Rowan Atkinson sort of way!",negative
"Jack, Sawyer and Sayid swim to the boat and find a completely wasted Desmond. His traumatic past experience before sailing to the island is disclosed through flashbacks. Sayid plots a plan with Jack to surprise ""The Others"" in case Michael is double-crossing the group. John Locke convinces Desmond to invade the hatch, which is protected by Mr. Eko, and not press the button of the computer to see what will happen.<br /><br />This episode is one of the best of the Second Season. Unfortunately, we lovers of ""Lost"" can see the lack of respect the producers of this stunning series have with the fans. In the USA, the air date of this episode was 24 May 2006. Therefore, along this period, fans have to wait for the Third Season in a very suspenseful situation, with Jack and his group surrounded by ""The Others"" and finding the truth about Michael and the death of Ana Lucia and Libby; John locked inside the hatch without the intention of pushing the button and Mr. Eko in despair outside the hatch. I hope the fate of ""Lost"" be better than ""Angel"" and its very disappointing conclusion (or lack of conclusion) after five seasons. My vote is ten.<br /><br />Title (Brazil): Not Available",positive
"Well, EYEboy, I must say that it pleases me to no end when someone singles me out and tries to make fun of me, especially when it is someone who seems as intelligent as you do. My favorite part of your post was ""But no big bang-bang good-guy bad-guy here, kimosabe. Me suggest you stick to movie with lotsa bang bang.""<br /><br />Well said! I do like action movies, especially if they are well done, but I also like movies that don't have a whole lot of action, as long as THEY are well done. I'm sorry, but Secret's and Lies does not fit into that category and is simply a very bad movie. I really don't see very many non-American films, so maybe I was spoiled, and didn't realize how bad foreign films really were when I saw Secrets and Lies. Perhaps if I judge foreign movies by a different standard I could some day see how Secrets and Lies could possibly be one of the highest rated movies on the IMDB. Hmm... If true, that is very scary.<br /><br />Jeremy Barger bits@midohio.net(new e-mail)",negative
"This Columbo episode is one of the better and perhaps one of my personal favorites. The cast includes Rosemary's Baby John Cassavetes as the maestro, his wife played by Blythe Danner (Gwyneth Paltrow's mom) and his mother-in-law played by Myrna Loy (one of America's greatest leading actresses in film of our time). Anyway I disagree with anybody who criticizes against this film. This episode is one of my favorites because you have an excellent cast who do a superb job in performing. I love watching Columbo with his beloved dog who he never names in the series. This time, the episode focuses in on classical music at the Hollywood Bowl, one of L.A.'s attractions. Of course, Columbo becomes as interested in classical music as he does anything else involving a crime.",positive
"This is one of those movies I watched, and wondered, why did I watch it? What did I find so interesting about it? Being a truck driver myself, I didn't find it very realistic. No, I've never used a 'lot lizard', nor have I ever seen, nor heard about one traveling around the country in a brand new seventy thousand dollar RV, either.<br /><br />Same thing about a pimp whom has never sampled the lady in question (until the end of the movie, and well, he still really didn't...), and only getting 50 bucks 'a cut', when the prostitute gets $200.00 (well, $150.00 after his cut, yeah...).<br /><br />I still laugh at the lot lizard comment Ivey made (them's Lot Lizards, they'll screw anything with 20 bucks, and some are men dressed as woman... or something equally as weird), meaning, we're better then them, as we may still be prostitutes, but we get paid BETTER.<br /><br />Other then that, it's just a story of a young woman whom wanted something more from life then a dead end job while living at home (she's 18, remember?) and embarrassed by her mother basically doing the same thing (dead end job). At least she had a roof over her head and a job. She turned FIVE tricks on the road... I wonder if the $750.00 she made was worth it? I'd guess not.",negative
"Ya know, I have no idea how everybody else's teenage life was, but this does not reflect the folks I knew and hung around with let alone, myself. And just in case if you're wondering..NO..we weren't pristine/clean cut/Pat Boone type teens. (If there was ever such a thing!!!!)<br /><br />Look, I'm NOT saying being a teenager is easy. The better, well actually the BEST teen movie of this time is ""Fast Times at Ridgemont High"". Now those kids I knew and were as realistic as it got back then (and maybe now).<br /><br />This was crap. This was a low rent version of Fast Times and even then it didn't do much for me. It had a few moments, but not enough for me to recommend this, or even claim ""this is how it was for teens back in 1982"". I couldn't relate. The lead girl (girls) did nothing for me and please if they really wanted to keep their virginity, they would have, in which case, this film would not have been made. Pure crap and a bad staple to be left behind as a time-capsule cinema for teens/young adults in the early '80's.",negative
"""Sir"" has played Lear over 200 times,but tonight he can't remember his opening lines.Sitting at the mirror,his eyes reflect the King's madness. His dresser prompts him gently,mouthing the words.There is an air of desperation about both these men.The great actor knowing his powers are slipping away,his valet cum major domo cum conscience cum surrogate wife - aware of his boss's decline into madness and knowing he is powerless to do more than ease his passing. ""The Dresser"" is really a love story between the two.Over the years they have become mutually dependent on one another to the extent that neither can conceive a future without the other. Set during the second world war,it concerns the fortunes of a frankly second - rate touring Shakespearean Company comprising an equal number of has - beens and wannabes led by ""Sir"", a theatrical knight of what might kindly be called ""The Old School"".Whatever part he is playing he grabs centre - stage and bellows out over the footlights,bullying his audience into applause.But,somewhere inside him,buried most of the time deep beneath the ham he regularly dishes out,there still remains an occasional glitter of his earlier greatness.It is to catch a glimpse of this that his audiences fervently hope for. Mr A.Finney very cleverly concentrates on the ham,often to the point of caricature,and,just when you are ready to dismiss his performance as mere hyperbole and bluster he will produce a moment of exquisite subtlety and vulnerability that makes you realise that a great actor is playing a great actor. The same goes for Mr T.Courtenay.It's easy to write off his portrayal<br /><br />of Norman as an exercise in stereotyping.Here we have a middle - aged effeminate rather than camp theatrical dresser sashaying his way through life,enjoying the company of ""The Girls"" and loving the wicked Insider gossip rife in ""The Theatre"".There were - and I strongly suspect still are - many men just like Norman in The Profession.Infinitely kind and patient,knowing more about the plays than many of the actors,they run backstage with wisdom and affection.I believe the vast majority of them would hoot with approving laughter at Mr Courtenay's portrait. I saw ""The Dresser"" on the London stage where,against the perceived wisdom,Mr Courtenay's ""Norman"" was rather more subdued than in the movie.""Sir"" was played by the great Mr Freddie Jones to huge acclaim from the audience.It was a memorable performance that overshadowed Mr Courtenay's,reducing him rather to an ""also - ran"" as opposed to an actor on level - billing.The idea that ""Sir"" and ""Norman"" might be almost incomplete without each other went right out of the window. ""Norman"" was reduced to being his puppet,which I'm not sure was what Ronald Harwood intended,but made for breathtaking theatre. Messrs Finney and Courtenay redress the balance in the movie,restoring equality to the relationship. Both men have come a long way since their early appearances in the British ""New Wave"" pictures when they became the darlings of the vaguely Leftish,""middle - class and ashamed of it"" movement.When the British cinema virtually committed Hari - kiri in the 1970s they quietly concentrated on the theatre apart from a few roles to keep the wolf from the door.With the renaissance of more substantial movies,they re - appeared,blinking in the unaccustomed bright light.<br /><br />""The Dresser"" marked their return,still fizzing with energy and talent, shouting to the world at large ""We're still here"".It's not a big movie but is assuredly a great one.",positive
"This depiction of forlorn Japanese forces in the Philipines is a tour de force in the utter meaninglessness of war. It is an effective representation of Japanese pacifist views after WW II. In the movie, Japanese soldiers have been left to fend for themselves in the jungles of the Philipines. Faced with impending starvation they resort to cannibalism and gradually lose what little humanity they have left. To call this film depressing would be something of an understatement. The viewer is left with an utterly despairing sense of life's lost value in modern combat. The final scene is almost too nihilistic but the film is a worthy statement none-the-less. Highly recommended.",positive
"This third Darkman was definitely better than the second one, but still far worse than the original movie. What made this one better than D2 was the fact that The Bad Guy had been changed and Durant was not brought back again. Furthermore there was actually some hint of character development when it came to the bad guy's family and Darkman himself. This made my heart soften and I gave this flick as much as 4/10, i.e. **/*****.",negative
James Franco is totally cool in this movie. Not just handsome and charismatic but genuinely open and vulnerable in a sincere kind of way. At the Tristan screening some folks were on his back for being pouty and sullen and doing the whole James Dean thing but I don't think this true. Blind Spot is proof positive of his tremendous talent. In this film he carries himself with a different sort of weight entirely. It's a unique performance. Bittersweet and really moving. The lines from his journal cut you like a knife. You sense a sharp intelligence of observation behind his words. The tone is everything. He carries it through the action and suspense as well as the grim bits of gallows humor. I like the other two actors a great deal too. The blonde girl is totally gorgeous and the man is hysterical in his twisted tough guy stoicism. Some of the thugs seemed a little sketchy but this is a mini-point really. The film is totally solid and Franco is way cool all around.,positive
